Residual 	 Iterations
1.087734959010083e-07 	 355
8.448600331743464e-08 	 346
9.21984017818737e-08 	 310
8.50348841149437e-08 	 497
7.510661023012555e-08 	 398
1.016004510936783e-07 	 217
9.482066297161985e-08 	 500
7.882847273155311e-08 	 460
1.677636228393774e-07 	 329
9.687672082125926e-08 	 491
1.4324522112483287e-07 	 484
2.6587377735378646e-05 	 469
9.959133389934113e-08 	 427
9.586219545730178e-08 	 255
7.526249452557428e-08 	 475
9.337216917241696e-08 	 467
7.958847856394936e-08 	 481
9.49166039493305e-08 	 447
8.526062805247852e-08 	 147
8.841716338624894e-08 	 211
8.380659290620544e-08 	 444
8.210984640131186e-08 	 434
9.576239503011709e-08 	 455
9.552322076142533e-08 	 436
8.854955624499794e-08 	 417
8.720828534263732e-08 	 382
8.02357247729767e-08 	 196
7.648820806072676e-08 	 110
8.744047101366716e-08 	 93
7.671776636686561e-08 	 487
8.412747740526173e-08 	 232
6.767906500533494e-08 	 418
9.361833058714707e-08 	 456
9.041706915587131e-08 	 427
8.678624480762392e-08 	 461
9.100015129941576e-08 	 479
8.447292967253881e-08 	 270
8.763149115361744e-08 	 440
8.839746340416706e-08 	 425
7.789898273417081e-08 	 472
9.236143988530982e-08 	 362
8.389239209226616e-08 	 490
1.0901807483130999e-07 	 442
7.678507136563106e-08 	 231
1.269283584957201e-07 	 276
1.456908807810189e-07 	 402
1.1417726291001385e-07 	 409
1.4478412289241382e-07 	 490
9.807166144131925e-08 	 380
1.1907662149030734e-07 	 382
8.296164053794871e-08 	 339
9.180693357121404e-08 	 399
8.718178839074305e-08 	 206
8.946769731462504e-08 	 498
7.947094701448521e-08 	 222
1.0145473177014081e-07 	 341
8.877615198320721e-08 	 408
7.84442991762305e-08 	 499
8.697557881970303e-08 	 105
9.382039645958537e-08 	 462
7.038110694037364e-08 	 314
1.0356343907719615e-07 	 240
7.955667375517854e-08 	 369
9.631657759527677e-08 	 441
7.872401460885327e-08 	 359
8.572897121660332e-08 	 318
8.506103313309738e-08 	 184
8.813634501103124e-08 	 223
0.0 	 489
9.121246848204276e-08 	 470
1.2454757145064203e-07 	 265
1.2296712237163315e-07 	 420
1.0729775203567917e-07 	 483
0.0003374873323563233 	 240
7.356266729973628e-08 	 227
8.129339461531687e-08 	 419
9.323260891760975e-08 	 461
8.639529099990674e-08 	 463
9.303656677368134e-08 	 239
8.085926675992267e-08 	 411
7.989647155027835e-08 	 377
9.549609555821873e-08 	 446
9.34590719510327e-08 	 498
8.800650785425536e-08 	 432
9.602171701963342e-08 	 449
9.300242362352797e-08 	 416
9.248093788512979e-08 	 459
8.03689260905409e-08 	 485
1.0206293180690236e-07 	 431
8.683713822962482e-08 	 272
8.197577926522509e-08 	 288
1.0853274708222799e-07 	 119
9.911119758627361e-08 	 421
9.621831964471255e-08 	 260
8.829910610589488e-08 	 86
9.255235198741276e-08 	 488
9.556033432651064e-08 	 465
8.179767819380974e-08 	 88
8.935096720067769e-08 	 239
7.479840567484778e-08 	 273
9.132674177248929e-08 	 261
9.281576424355517e-08 	 496
8.86927756014154e-08 	 308
9.070642238486438e-08 	 215
8.036535966761844e-08 	 225
9.022018830197479e-08 	 358
9.646993593426672e-08 	 405
8.36369136192551e-08 	 207
9.802842178240631e-08 	 187
9.005895495048343e-08 	 205
8.844022537723037e-08 	 379
8.390445262348709e-08 	 182
1.0229197428271232e-07 	 428
9.016027044765564e-08 	 369
1.4508733307616364e-07 	 459
9.843199217240178e-08 	 419
7.227053471447746e-08 	 468
8.417274566179413e-08 	 314
8.984375836940744e-08 	 417
9.677802583480278e-08 	 476
9.95234108506759e-08 	 405
1.1491445040373316e-07 	 356
9.129544893179462e-08 	 396
9.916714858564212e-08 	 480
9.210649097864823e-08 	 287
1.0301224343499512e-07 	 127
1.015747274650046e-07 	 483
8.09626240250327e-08 	 160
7.780079139354941e-08 	 369
8.388929709036722e-08 	 313
0.0005837363737900275 	 94
7.947600461889076e-08 	 244
7.690223703419675e-08 	 403
9.402845922816956e-08 	 186
7.679594536128477e-08 	 216
8.299433871907401e-08 	 332
8.344977042726115e-08 	 215
8.160088021133692e-08 	 184
8.911247603525743e-08 	 261
8.165361160958929e-08 	 445
1.0440858269877055e-07 	 313
8.943363712115755e-08 	 194
9.522389854530522e-08 	 119
1.0089605183261522e-07 	 441
9.072668663673072e-08 	 487
8.162553710447144e-08 	 322
9.424207341544558e-08 	 424
1.792192047163369e-07 	 488
1.0309959195542658e-07 	 485
1.0004563593973003e-07 	 434
8.963955794983333e-08 	 412
8.431345131068389e-08 	 351
1.0235893863754658e-07 	 196
1.0134426774575436e-07 	 396
9.330015322881246e-08 	 218
8.922112760572774e-08 	 331
1.307509761990402e-07 	 467
1.0729684455837833e-07 	 375
1.0718288823864954e-07 	 263
1.0696288644691302e-07 	 482
8.804373596839874e-08 	 272
8.518575052523096e-08 	 278
9.231304715095551e-08 	 383
9.496019171772204e-08 	 172
9.34190050525316e-08 	 221
9.508095937992026e-08 	 380
8.742298507105487e-08 	 426
8.427311075612194e-08 	 162
9.673550009169768e-08 	 415
1.1000648072031055e-07 	 105
8.23960507723746e-08 	 433
9.077949849721747e-08 	 333
9.329094382802839e-08 	 201
8.668684787278222e-08 	 313
9.733749157669561e-08 	 492
1.0054590766662832e-07 	 318
9.65599834070168e-08 	 230
1.0590158319766573e-07 	 483
9.578754822100049e-08 	 403
1.0303324816163732e-07 	 319
1.0206791981053908e-07 	 435
9.756238894539642e-08 	 461
9.551920936821721e-08 	 491
8.327912235665415e-08 	 435
9.036967203204886e-08 	 84
1.0520383040989616e-07 	 444
1.1313403862721943e-07 	 489
1.0049595859718026e-07 	 481
8.848050114089477e-08 	 278
8.426169725105652e-08 	 80
8.533734325276843e-08 	 428
8.670130449309541e-08 	 346
8.581290777834192e-08 	 442
9.12050939358644e-08 	 368
1.0792893997082143e-07 	 327
9.479350970373266e-08 	 202
9.354405610941885e-08 	 425
8.334879925935069e-08 	 219
1.0127517566991996e-07 	 243
1.1621528865661627e-07 	 383
1.0658083834864173e-07 	 458
9.808959584008135e-08 	 307
1.5552130258135716e-07 	 489
1.1058831815624131e-07 	 482
9.132398824734363e-08 	 406
9.141941539419141e-08 	 262
9.897354561778705e-08 	 313
1.065991496689427e-07 	 480
8.769885006458348e-08 	 296
9.962692602964491e-08 	 498
9.98696098077111e-08 	 230
8.615705250819682e-08 	 450
9.815839347524641e-08 	 336
1.0396486272714463e-07 	 367
9.973117767619293e-08 	 499
1.0665670730653434e-07 	 377
1.1922261064258823e-07 	 490
1.0212730851532274e-07 	 189
8.252160018551637e-08 	 117
8.485147040599461e-08 	 238
8.809526051682222e-08 	 142
9.249817938908171e-08 	 486
8.911814217239168e-08 	 445
9.378161332348353e-08 	 381
9.755528511224616e-08 	 450
9.554479583135681e-08 	 494
9.010226099149708e-08 	 279
9.772810730129029e-08 	 414
1.0445056616329654e-07 	 192
1.0084499883761098e-07 	 410
8.699651673262918e-08 	 496
8.873486547784349e-08 	 339
7.954621067618073e-08 	 376
8.623003976812509e-08 	 376
8.768148356267531e-08 	 404
8.100942558549285e-08 	 332
1.469359146182034e-07 	 481
1.3848912537075905e-07 	 460
1.1949295616991126e-07 	 380
1.1256033231794782e-07 	 480
7.642614704778643e-08 	 59
8.552639896145215e-08 	 407
1.1925647083602412e-07 	 475
1.2795215322718398e-07 	 439
